# Generated by build_constellations.py — do not hand-edit.
# Regenerate: python -m astrodeck.catalog.build_constellations
# id	constellation
B033	Orion
C009	Cepheus
C014	Perseus
C041	Taurus
C099	Crux
Cl399	Vulpecula
ESO056-115	Dorado
ESO097-013	Circinus
ESO107-004	Pavo
ESO121-006	Pictor
ESO121-026	Pictor
ESO138-010	Ara
ESO142-019	Pavo
ESO183-030	Telescopium
ESO185-054	Telescopium
ESO208-021	Puppis
ESO213-011	Vela
ESO221-026	Centaurus
ESO265-007	Centaurus
ESO269-057	Centaurus
ESO270-017	Centaurus
ESO273-014	Lupus
ESO274-001	Lupus
ESO311-012	Puppis
ESO351-030	Sculptor
ESO356-004	Fornax
ESO358-063	Fornax
ESO373-008	Antlia
ESO380-001	Hydra
ESO380-006	Hydra
ESO383-087	Centaurus
ESO390-006	Scorpius
ESO428-011	Canis Major
ESO443-024	Centaurus
ESO462-015	Sagittarius
ESO494-026	Puppis
ESO495-021	Pyxis
ESO507-025	Hydra
ESO556-015	Canis Major
H05	Crux
H13	Ara
H20	Sagitta
H21	Cassiopeia
HCG079	Serpens
HCG092	Pegasus
IC 1	Pegasus
IC 10	Cassiopeia
IC 100	Cetus
IC 1000	Boötes
IC 1001	Virgo
IC 1002	Virgo
IC 1003	Virgo
IC 1004	Boötes
IC 1006	Boötes
IC 1007	Virgo
IC 1008	Boötes
IC 1008 NED01	Boötes
IC 1008 NED02	Boötes
IC 1009	Boötes
IC 101	Pisces
IC 1010	Virgo
IC 1011	Virgo
IC 1012	Boötes
IC 1013	Boötes
IC 1014	Boötes
IC 1015	Boötes
IC 1015 NED01	Boötes
IC 1015 NED02	Boötes
IC 1015 NED03	Boötes
IC 1017	Boötes
IC 1018	Boötes
IC 1019	Boötes
IC 102	Pisces
IC 1020	Boötes
IC 1021	Boötes
IC 1022	Virgo
IC 1023	Centaurus
IC 1024	Virgo
IC 1025	Virgo
IC 1027	Boötes
IC 1028	Boötes
IC 1029	Boötes
IC 103	Cetus
IC 1031	Boötes
IC 1032	Boötes
IC 1033	Boötes
IC 1034	Boötes
IC 1035	Boötes
IC 1036	Boötes
IC 1037	Boötes
IC 1038	Boötes
IC 1039	Virgo
IC 104	Cetus
IC 1040	Boötes
IC 1041	Virgo
IC 1042	Virgo
IC 1043	Virgo
IC 1044	Boötes
IC 1046	Ursa Minor
IC 1047	Boötes
IC 1048	Virgo
IC 1049	Draco
IC 105	Cetus
IC 1050	Boötes
IC 1051	Boötes
IC 1052	Boötes
IC 1053	Boötes
IC 1054	Virgo
IC 1055	Libra
IC 1056	Boötes
IC 1058	Boötes
IC 1059	Libra
IC 1060	Libra
IC 1061	Boötes
IC 1062	Boötes
IC 1063	Virgo
IC 1065	Draco
IC 1066	Virgo
IC 1067	Virgo
IC 1068	Virgo
IC 1069	Boötes
IC 107	Pisces
IC 1070	Virgo
IC 1071	Virgo
IC 1072	Virgo
IC 1073	Virgo
IC 1074	Boötes
IC 1075	Boötes
IC 1076	Boötes
IC 1077	Libra
IC 1078	Boötes
IC 1079	Boötes
IC 108	Cetus
IC 1080	Libra
IC 1081	Libra
IC 1082	Virgo
IC 1083	Ursa Minor
IC 1084	Libra
IC 1085	Boötes
IC 1086	Boötes
IC 1087	Virgo
IC 1088	Virgo
IC 1089	Virgo
