# Wikidata (https://www.wikidata.org), CC0 -- no attribution required.
# P61 (discoverer) + P575 (point in time), joined on the P528 NGC/IC
# catalog-code statement. Ambiguous matches are dropped, not guessed --
# see build_discoverers.py's module docstring for the three kinds.
# Regenerate: python -m astrodeck.catalog.build_discoverers
# id	discoverer	discovery_date	date_precision
IC 10	Lewis A. Swift	1887-01-01	9
IC 100	Stéphane Javelle	1892-12-14	11
IC 1000	Stéphane Javelle	1892-06-23	11
IC 1001	Stéphane Javelle	1892-06-29	11
IC 101	Stéphane Javelle	1893-12-02	11
IC 1011	Stéphane Javelle	1893-06-08	11
IC 102	Stéphane Javelle	1893-12-02	11
IC 1049	Lewis A. Swift	1889-07-02	11
IC 1065	Lewis A. Swift	1888-04-07	11
IC 1101	William Herschel	1790-06-19	11
IC 1122	Lewis A. Swift	1887-04-19	11
IC 115	Sherburne Wesley Burnham	1890-07-25	11
IC 116	Stéphane Javelle	1892-12-14	11
IC 1184	Lewis A. Swift	1886-06-27	11
IC 12	Stéphane Javelle	1891-11-07	11
IC 122	Stéphane Javelle	1891-12-05	11
IC 123	Stéphane Javelle	1894-01-06	11
IC 126	Stéphane Javelle	1891-01-06	11
IC 1266	A. David Thackeray	1950-01-01	9
IC 127	Stéphane Javelle	1892-12-14	11
IC 1276	Lewis A. Swift	1889-04-10	11
IC 128	Stéphane Javelle	1891-01-03	11
IC 1296	Edward Emerson Barnard	1893-10-02	11
IC 13	Stéphane Javelle	1892-11-10	11
IC 1318	Edward Emerson Barnard		
IC 1396	Edward Emerson Barnard	1893-08-01	10
IC 141	Stéphane Javelle	1891-12-05	11
IC 1454	William Frederick Denning		
IC 1459	Edward Emerson Barnard		
IC 147	Stéphane Javelle	1893-12-07	11
IC 1479	Stéphane Javelle	1893-09-13	11
IC 15	Stéphane Javelle	1892-08-27	11
IC 150	Stéphane Javelle	1893-12-05	11
IC 1519	Stéphane Javelle	1893-12-06	11
IC 1520	Stéphane Javelle	1891-11-04	11
IC 1525	Lewis A. Swift	1887-08-19	11
IC 154	Stéphane Javelle	1892-12-15	11
IC 1550	Stéphane Javelle	1900-06-22	11
IC 1551	Stéphane Javelle	1903-11-12	11
IC 1555	Lewis A. Swift	1889-05-20	11
IC 156	Stéphane Javelle	1892-12-15	11
IC 1574	DeLisle Stewart	1898-11-03	11
IC 158	Stéphane Javelle	1892-12-14	11
IC 159	Stéphane Javelle	1892-12-17	11
IC 16	Stéphane Javelle	1891-11-03	11
IC 160	Stéphane Javelle	1892-01-02	11
IC 1600	DeLisle Stewart	1898-11-03	11
IC 161	Lewis A. Swift	1891-01-08	11
IC 1613	Max Wolf	1906-01-01	9
IC 162	Lewis A. Swift	1891-01-08	11
IC 1623	Lewis A. Swift	1897-11-19	11
IC 164	Lewis A. Swift	1889-10-23	11
IC 1649	DeLisle Stewart	1899-01-01	9
IC 167	Guillaume Bigourdan	1889-01-04	11
IC 1727	Isaac Roberts	1896-11-29	11
IC 1730	Stéphane Javelle	1785-11-28	11
IC 1750	Stéphane Javelle	1903-12-21	11
IC 178	Truman Henry Safford	1866-11-08	11
IC 179	Lewis A. Swift	1890-06-28	11
IC 1795	Edward Emerson Barnard		
IC 18	Stéphane Javelle	1892-08-31	11
IC 1801	Stéphane Javelle	1897-12-27	11
IC 182	Stéphane Javelle	1893-12-05	11
IC 183	Stéphane Javelle	1893-12-07	11
IC 1854	Stéphane Javelle	1898-01-18	11
IC 1895	Lewis A. Swift	1896-10-08	11
IC 19	Stéphane Javelle	1892-08-31	11
IC 190	Stéphane Javelle	1892-12-15	11
IC 1950	DeLisle Stewart	1898-10-14	11
IC 1988	William Herschel	1790-10-09	11
IC 2	Stéphane Javelle	1891-03-03	11
IC 20	Stéphane Javelle	1891-11-03	11
