# OpenNGC (https://github.com/mattiaverga/OpenNGC), CC-BY-SA-4.0
# id	common	type	ra_hours	dec_deg	mag	size_arcmin	alias
B033	Horsehead Nebula	DN	5.683056	-2.458333	99.0	6.0	
C009	Cave Nebula	EN	22.965	62.518333	99.0	50.0	
C014	Double Cluster	STAR	2.345	57.1375	99.0	50.0	
C041	Hyades	OC	4.448333	15.866667	99.0	329.0	
C099	Coalsack Nebula	DN	12.521944	-63.743333	99.0	0.0	
Cl399	Brocchi's Cluster	STAR	19.423333	20.183333	3.6	70.0	
ESO056-115	Large Magellanic Cloud	GX	5.392917	-69.756111	0.29	646.0	
ESO097-013	Circinus Galaxy	GX	14.219431	-65.339222	10.56	8.71	
ESO107-004		GX	21.058228	-67.181333	11.97	2.14	
ESO121-006		GX	6.124961	-61.807583	12.6	4.17	
ESO121-026		GX	6.360764	-59.739917	11.94	2.4	
ESO138-010		GX	16.984153	-60.216028	11.42	5.5	
ESO142-019		GX	19.555267	-58.11425	11.93	2.45	
ESO183-030		GX	18.948872	-54.545444	11.67	2.34	
ESO185-054		GX	20.057508	-55.947167	11.24	2.09	
ESO208-021		GX	7.565625	-50.443028	11.22	3.8	
ESO213-011		GX	10.282089	-48.881083	11.87	3.55	
ESO221-026		GX	14.139947	-47.970472	11.06	3.16	
ESO265-007		GX	11.130436	-46.524306	11.38	4.68	
ESO269-057		GX	13.167897	-46.437333	11.86	3.71	
ESO270-017	Fourcade-Figueroa	GX	13.579806	-45.5475	11.72	11.48	
ESO273-014		GX	14.975103	-47.698944	11.96	4.79	
ESO274-001		GX	15.237178	-46.807944	11.19	9.77	
ESO311-012		GX	7.792792	-41.452139	11.83	4.37	
ESO351-030	Sculptor Dwarf Elliptical	GX	1.002597	-33.709028	8.6	15.26	
ESO356-004	Fornax Dwarf Spheroidal	GX	2.666481	-34.449194	7.4	12.88	
ESO358-063		GX	3.771947	-34.943556	11.89	4.27	
ESO373-008		GX	9.555975	-33.0335	11.93	3.72	
ESO380-001		GX	12.245867	-35.509806	11.89	2.14	
ESO380-006		GX	12.259519	-35.62975	11.54	3.63	
ESO383-087		GX	13.821528	-36.063444	10.91	4.27	
ESO390-006		GC	16.477806	-35.353611	12.0	5.4	
ESO428-011		GX	7.258689	-29.359028	11.89	1.82	
ESO443-024		GX	13.016886	-32.441306	11.84	2.34	
ESO462-015		GX	20.387178	-27.714556	11.92	2.14	
ESO494-026		GX	8.103081	-27.528417	11.51	4.07	
ESO495-021		GX	8.604203	-26.409389	11.83	1.95	
ESO507-025		GX	12.858844	-26.452083	11.6	2.63	
ESO556-015		GX	6.351544	-20.048417	11.83	2.57	
H05		OC	12.454444	-60.778333	7.1	6.0	
H13		OC	17.064167	-48.083333	99.0	4.5	
H20		OC	19.885	18.333333	7.7	5.1	
H21		OC	23.903667	61.74	9.0	1.8	
HCG079	Seyfert's Sextet	GX	15.986639	20.758611	99.0	2.8	
HCG092	Stephan's Quintet	GX	22.599722	33.958333	99.0	4.4	
IC 1		STAR	0.140847	27.717667	99.0	0.0	
IC 10		GX	0.33815	59.303778	10.35	6.76	
IC 100		GX	1.381656	-4.643028	14.48	1.04	
IC 1000		GX	14.327864	17.854694	14.47	1.01	
IC 1001		GX	14.344353	5.427361	15.01	0.81	
IC 1002		GX	14.345078	5.485778	15.43	0.59	
IC 1003		GX	14.358267	5.073194	15.33	1.04	
IC 1004		GX	14.350633	17.700583	15.82	0.95	
IC 1006		GX	14.383083	23.794333	15.12	0.89	
IC 1007		GX	14.410164	4.559167	15.04	0.75	
IC 1008		GX	14.395164	28.347861	99.0	0.8	
IC 1008 NED01		GX	14.395072	28.346083	15.33	0.57	
IC 1008 NED02		GX	14.395319	28.347417	15.11	0.86	
IC 1009		GX	14.438222	12.352917	15.16	0.87	
IC 101		GX	1.402375	9.930528	15.03	1.24	
IC 1010		GX	14.455656	1.025861	14.56	1.52	
IC 1011		GX	14.467925	1.006306	14.69	0.84	
IC 1012		GX	14.452639	30.948222	14.73	1.09	
IC 1013		GX	14.46635	25.866333	16.62	0.95	
IC 1014		GX	14.471786	13.780222	13.9	2.0	
IC 1015		GX	14.471986	15.420111	99.0	1.0	
IC 1015 NED01		GX	14.471911	15.416361	15.56	0.59	
IC 1015 NED02		GX	14.472142	15.421944	16.54	0.72	
IC 1015 NED03		GX	14.472017	15.421167	16.1	0.74	
IC 1017		GX	14.468675	25.868778	14.64	1.07	
IC 1018		GX	14.470222	25.830528	16.08	0.57	
IC 1019		GX	14.470411	25.947417	15.05	0.6	
IC 102		GX	1.407314	9.886556	15.57	0.75	
IC 1020		GX	14.480414	26.032278	14.95	1.06	
IC 1021		GX	14.488092	20.654528	15.04	0.62	
IC 1022		GX	14.500511	3.772861	15.16	0.97	
IC 1023		OC	14.540317	-35.803583	99.0	5.1	
IC 1024		GX	14.524222	3.009083	13.98	1.11	
IC 1025		GX	14.524522	7.063917	15.35	0.58	
IC 1027		GX	14.496806	53.965028	15.24	1.35	
IC 1028		GX	14.554564	41.650389	14.74	1.04	
IC 1029		GX	14.540906	49.904611	11.29	2.78	
IC 103		GX	1.410122	2.04425	15.36	0.95	
IC 1031		GX	14.573328	48.037444	15.43	0.79	
IC 1032		GX	14.577633	47.967972	15.68	0.65	
IC 1033		GX	14.578264	47.937806	15.02	1.05	
IC 1034		GX	14.620481	14.665139	15.55	0.59	
IC 1035		GX	14.636169	9.336028	14.95	1.07	
IC 1036		GX	14.639664	18.111222	15.66	0.58	
IC 1037		GX	14.640381	18.184028	14.82	0.99	
IC 1038		GX	14.657619	11.928639	15.43	0.63	
IC 1039		GX	14.674833	3.43275	15.72	0.68	
IC 104		STAR	1.409333	-1.456722	8.79	0.0	
IC 1040		GX	14.672981	9.476139	15.44	0.5	
IC 1041		GX	14.677194	3.377028	14.9	0.87	
IC 1042		GX	14.677506	3.469722	14.7	1.13	
IC 1043		GX	14.678708	3.374028	15.76	0.74	
IC 1044		GX	14.691394	9.430917	14.77	1.51	
IC 1046		GX	14.631506	69.014472	14.65	0.78	
IC 1047		GX	14.705547	19.191833	15.53	0.72	
IC 1048		GX	14.716111	4.889472	13.89	2.08	
IC 1049		GX	14.6592	62.002944	14.7	0.92	
IC 105		GX	1.412847	2.075278	15.59	0.58	
IC 1050		GX	14.735311	18.012639	15.24	0.83	
IC 1051		GX	14.736553	19.020222	15.36	0.74	
IC 1052		GX	14.737253	20.614	15.38	1.02	
IC 1053		GX	14.762008	16.946917	15.17	0.55	
IC 1054		GX	14.775344	1.27475	14.79	1.03	
IC 1055		GX	14.790469	-13.716139	13.12	2.26	
IC 1056		GX	14.763625	50.394056	14.32	1.51	
IC 1058		GX	14.820108	17.020944	14.87	1.49	
IC 1059		GX	14.845156	-0.875806	15.23	0.88	
IC 1060		GX	14.863153	-7.232639	15.13	1.22	
IC 1061		GX	14.853956	18.757556	16.0	0.49	
IC 1062		GX	14.854906	18.686972	15.28	0.94	
IC 1063		GX	14.869728	4.682056	14.87	0.74	
IC 1065		GX	14.822658	63.270556	13.71	0.88	
IC 1066		GX	14.884128	3.296028	14.13	1.21	
IC 1067		GX	14.884792	3.331778	13.52	1.82	
IC 1068		GX	14.892478	3.077306	14.64	0.92	
IC 1069		GX	14.846256	54.411167	14.88	1.47	
IC 107		GX	1.423517	14.864611	14.25	1.62	
IC 1070		GX	14.897578	3.484667	15.88	0.78	
IC 1071		GX	14.903472	4.750028	14.46	1.09	
IC 1072		GX	14.90365	4.841556	15.28	0.87	
IC 1073		GX	14.903986	4.794389	15.49	0.52	
IC 1074		GX	14.865922	51.264889	15.05	0.92	
IC 1075		GX	14.913681	18.105972	14.87	1.19	
IC 1076		GX	14.916561	18.037333	13.69	0.91	
IC 1077		GX	14.956033	-19.213694	13.46	1.31	
IC 1078		GX	14.941394	9.354528	14.72	0.99	
IC 1079		GX	14.943378	9.36975	14.65	1.46	
IC 108		GX	1.410822	-12.635583	15.48	1.3	
IC 1080		GX	14.966617	-6.723306	14.98	1.22	
IC 1081		GX	14.981961	-19.239083	14.75	1.66	
IC 1082		GX	14.981247	7.007306	15.28	0.86	
IC 1083		GX	14.925947	68.408583	15.16	0.72	
IC 1084		GX	15.0208	-7.474917	14.23	0.87	
IC 1085		GX	15.045381	17.252528	14.91	0.94	
IC 1086		GX	15.058103	17.114417	15.32	0.69	
IC 1087		GX	15.112192	3.776833	15.47	0.74	
IC 1088		STAR	15.113172	3.791861	99.0	0.0	
IC 1089		GX	15.123886	7.11675	15.24	0.97	
IC 109		GX	1.420303	2.066222	14.87	0.76	
IC 1090		OTHER	15.095319	42.682361	99.0	0.0	
IC 1091		GX	15.137086	-11.140917	14.34	1.09	
IC 1092		GX	15.1267	9.358222	15.04	1.01	
IC 1093		GX	15.126567	14.548	14.99	1.0	
IC 1094		GX	15.128389	14.625	99.0	0.8	
IC 1094 NED01		GX	15.128281	14.621889	16.57	0.55	
IC 1094 NED02		GX	15.128386	14.627972	16.3	0.54	
IC 1094 NED03		GX	15.128497	14.62675	17.14	0.52	
IC 1095		GX	15.143069	13.670611	15.3	0.65	
IC 1096		GX	15.139325	19.192111	15.69	0.56	
IC 1097		GX	15.142028	19.184333	14.83	0.91	
IC 1098		STAR	15.107011	55.601667	99.0	0.0	
IC 1099		GX	15.115181	56.509	14.78	1.12	
IC 110		OTHER	1.429611	33.514694	99.0	0.0	
IC 1101		GX	15.18225	5.744778	15.34	1.2	
IC 1102		GX	15.184708	4.293861	15.5	1.04	
IC 1103		GX	15.193297	19.207778	15.81	0.91	
IC 1104		STAR	15.213856	-5.055611	99.0	0.0	
IC 1105		GX	15.220531	4.287556	14.94	0.95	
IC 1106		GX	15.2323	4.710972	15.13	0.91	
IC 1107		GX	15.235822	4.714417	15.91	0.7	
IC 1109		GX	15.284439	5.256111	15.37	0.81	
IC 111		OTHER	1.433369	33.497111	99.0	0.0	
IC 1110		GX	15.201408	67.362583	14.83	1.26	
IC 1112		GX	15.296486	7.218278	15.07	1.02	
IC 1113		GX	15.304197	12.488667	15.28	0.87	
IC 1114		STAR	15.190469	75.426694	99.0	0.0	
IC 1115		STAR	15.37195	-4.473861	99.0	0.0	
IC 1116		GX	15.365353	8.423778	14.53	1.07	
IC 1117		GX	15.406361	15.488583	15.68	0.73	
IC 1118		GX	15.416536	13.445083	14.91	1.23	
IC 1119		GX	15.428967	-3.656306	99.0	1.0	
IC 1119 NED01		GX	15.428931	-3.653944	16.5	0.52	
IC 1119 NED02		GX	15.429061	-3.658056	15.28	0.62	
IC 112		GX	1.434172	11.442972	14.17	0.72	
IC 1120		GX	15.4364	18.872333	16.23	0.67	
IC 1121		GX	15.462239	6.803889	15.42	1.05	
IC 1122		GX	15.489742	7.617417	15.58	0.6	
IC 1123		STAR	15.481697	42.898528	99.0	0.0	
IC 1124		GX	15.500242	23.638417	14.45	1.1	
IC 1125		GX	15.551558	-1.62825	14.32	1.61	
IC 1126		STAR	15.583561	4.990417	99.0	0.0	
IC 1129		GX	15.533561	68.246333	13.5	1.01	
IC 113		GX	1.440417	19.191972	99.0	0.35	
IC 1130		GX	15.628897	17.244417	15.56	0.74	
IC 1131		GX	15.647694	12.080639	14.73	0.85	
IC 1132		GX	15.668544	20.680611	14.37	1.05	
IC 1133		GX	15.686664	15.573417	14.73	1.27	
IC 1134		GX	15.749583	16.962111	15.41	0.87	
IC 1135		GX	15.759642	17.700083	15.14	0.85	
IC 1136		GX	15.792886	-1.545278	15.21	0.75	
IC 1137		GX	15.809056	8.587917	14.71	0.86	
IC 1138		GX	15.804381	26.206222	15.27	1.04	
IC 1139		GX	15.490583	82.583861	15.62	0.65	
IC 114		GX	1.439606	9.909944	15.62	1.4	
IC 1140		OTHER	15.823683	19.113444	99.0	0.0	
IC 1141		GX	15.829706	12.399333	14.52	0.47	
IC 1142		GX	15.840533	18.139583	14.96	1.03	
IC 1143		GX	15.515544	82.455778	14.62	1.45	
IC 1144		GX	15.856025	43.417667	14.69	0.74	
IC 1145		GX	15.735708	72.431167	15.12	1.45	
IC 1146		GX	15.806133	69.385583	14.65	1.29	
IC 1147		GX	15.836558	69.560056	15.52	0.45	
IC 1149		GX	15.968883	12.070278	14.05	1.07	
IC 115		GX	1.448456	19.214694	14.03	0.76	
IC 1150		OTHER	15.971822	15.874528	99.0	0.0	
IC 1151		GX	15.97565	17.441472	12.92	2.23	
IC 1152		GX	15.945367	48.095	14.21	1.15	
IC 1153		GX	15.950836	48.168389	13.57	1.2	
IC 1154		GX	15.874614	70.375083	14.67	1.77	
IC 1155		GX	16.009933	15.685639	14.35	0.79	
IC 1156		GX	16.010378	19.723222	13.44	1.1	
IC 1157		GX	16.015628	15.526444	15.56	0.82	
IC 1158		GX	16.026133	1.707833	13.09	1.89	
IC 1159		GX	16.017072	15.419972	15.66	0.76	
IC 116		GX	1.447381	-4.982278	14.62	0.87	
IC 1160		GX	16.017364	15.494694	15.59	0.77	
IC 1161		GX	16.021339	15.645417	15.15	0.71	
IC 1162		GX	16.021203	17.677833	14.68	0.72	
IC 1163		GX	16.025153	15.503917	14.93	0.79	
IC 1164		STAR	15.917419	70.586972	99.0	0.0	
IC 1165		GX	16.035611	15.693889	99.0	0.9	
IC 1165 NED01		GX	16.035564	15.696556	14.95	0.69	
IC 1165 NED02		GX	16.035733	15.693167	15.63	0.63	
IC 1166		GX	16.035806	26.327222	99.0	0.6	
IC 1166 NED01		GX	16.035811	26.329333	16.77	0.53	
IC 1166 NED02		GX	16.035786	26.325333	17.07	0.41	
IC 1167		GX	16.064683	14.946444	15.5	0.62	
IC 1168		GX	16.065469	14.902417	15.62	1.32	
IC 1169		GX	16.070397	13.744028	14.06	1.06	
IC 1170		GX	16.075469	17.721472	17.41	0.5	
IC 1171		STAR	16.081067	17.978222	99.0	0.0	
IC 1173		GX	16.086822	17.422861	14.57	0.92	
IC 1174		GX	16.090783	15.025333	14.37	1.03	
IC 1175		STAR	16.089617	18.163111	99.0	0.0	
IC 1177		GX	16.088831	18.315361	16.23	0.54	
IC 1178		GX	16.092533	17.601444	13.92	1.34	
IC 118		GX	1.460011	-4.997472	15.81	0.72	
IC 1180		STAR	16.091697	18.149667	99.0	0.0	
IC 1181		GX	16.092736	17.593694	14.79	1.01	
IC 1182		GX	16.093556	17.802139	14.65	0.84	
IC 1184		OTHER	16.095222	17.79	99.0	0.0	
IC 1185		GX	16.095747	17.717028	13.84	0.74	
IC 1186		GX	16.095617	17.362167	14.69	0.78	
IC 1187		GX	15.986161	70.556972	15.43	0.35	
IC 1188		GX	16.102133	17.46	99.0	0.7	
IC 1188A		GX	16.102028	17.460806	15.65	0.55	
IC 1188B		GX	16.1023	17.461639	17.42	0.28	
IC 1189		GX	16.104119	18.182889	14.43	0.79	
IC 119		GX	1.465283	-2.040472	15.18	1.19	
IC 1190		GX	16.097892	18.220528	14.68	1.28	
IC 1191		GX	16.107986	18.267889	99.0	0.7	
IC 1191 NED01		GX	16.108053	18.267861	16.63	0.71	
IC 1191 NED02		GX	16.10825	18.267861	17.0	0.4	
IC 1192		GX	16.109203	17.775639	14.89	0.91	
IC 1193		GX	16.108944	17.713861	14.38	0.78	
IC 1194		GX	16.110931	17.761194	14.3	0.64	
IC 1195		GX	16.111356	17.191806	14.83	0.61	
IC 1196		GX	16.132881	10.779639	14.69	1.04	
IC 1197		GX	16.138131	7.5385	14.36	2.56	
IC 1198		GX	16.143436	12.330944	14.94	0.79	
IC 1199		GX	16.176208	10.040361	14.54	1.19	
IC 12		GX	0.337514	-2.653111	15.08	0.96	
IC 120		GX	1.470267	-1.915528	15.12	0.92	
IC 1201		GX	16.094903	69.593806	15.58	0.68	
IC 1203		STAR	16.254444	-22.370583	99.0	3.5	
IC 1204		GX	16.120967	69.931472	15.3	0.65	
IC 1205		GX	16.237756	9.537194	14.55	0.69	
IC 1206		GX	16.253631	11.297389	14.81	1.12	
IC 1207		STAR	16.324089	-29.651111	99.0	2.0	
IC 1208		GX	16.263303	36.527333	15.03	1.25	
IC 1209		GX	16.311006	15.558361	14.88	1.36	
IC 121		GX	1.472717	2.513028	14.25	1.0	
IC 1210		GX	16.241708	62.536694	14.56	1.38	
IC 1211		GX	16.281106	53.006028	13.76	1.34	
IC 1212		GX	16.258542	64.224806	15.32	0.77	
IC 1214		GX	16.269917	65.968778	14.95	1.05	
IC 1215		GX	16.259758	68.397667	13.7	0.91	
IC 1216		GX	16.265383	68.349889	14.87	0.75	
IC 1217		OTHER	16.267806	69.6765	99.0	0.0	
IC 1218		GX	16.276972	68.202639	15.3	0.92	
IC 1219		GX	16.407625	19.482583	15.13	1.31	
IC 122		GX	1.470333	-14.838889	15.96	0.65	
IC 1220		GX	16.493972	8.450722	14.73	1.24	
IC 1221		GX	16.578231	46.392056	14.59	1.0	
IC 1222		GX	16.585889	46.213917	13.37	1.51	
IC 1223		GX	16.595128	49.220528	15.3	0.82	
IC 1224		GX	16.715636	19.254361	15.37	1.28	
IC 1225		GX	16.614589	67.629417	15.42	1.37	
IC 1226		GX	16.685158	46.004056	15.3	0.57	
IC 1228		GX	16.7018	65.5855	14.43	1.32	
IC 1229		GX	16.749672	51.308083	15.96	0.44	
IC 123		GX	1.480961	2.446444	15.16	0.67	
IC 1230		GX	16.750411	51.259583	99.0	0.92	
IC 1231		GX	16.783061	58.423167	13.2	1.88	
IC 1234		STAR	16.880808	56.877778	99.0	0.0	
IC 1235		GX	16.867675	63.115806	15.04	0.76	
IC 1236		GX	16.974889	20.041472	13.64	1.17	
IC 1237		GX	16.937792	55.026472	14.6	1.97	
IC 1238		STAR	17.008375	23.07675	99.0	0.0	
IC 124		STAR	1.485856	-1.937028	14.4	0.0	
IC 1240		OTHER	17.016353	61.050444	99.0	0.0	
