# OpenNGC (https://github.com/mattiaverga/OpenNGC), CC-BY-SA-4.0
# Columns OpenNGC publishes that ngc.tsv itself does not carry.
# Regenerate: python -m astrodeck.catalog.build_ngc_extras <NGC.csv> [<addendum.csv>]
# id	hubble	minax_arcmin	redshift	ned_note
B033		4.00		
C009		30.00		
C014		50.00		
C041			0.000133	
ESO056-115	SBm	550.00	0.000875	
ESO097-013	Sb	4.27	0.001449	
ESO107-004	E	1.74	0.010617	
ESO121-006	Sc	0.79	0.004020	
ESO121-026	SBbc	1.78	0.007615	
ESO138-010	Sd	3.98	0.003833	
ESO142-019	Sab	1.05	0.014697	
ESO183-030	E-S0	1.95	0.009026	
ESO185-054	E	0.87	0.014714	
ESO208-021	E-S0	2.75	0.003506	
ESO213-011	Sc	2.09	0.009174	
ESO221-026	E	2.19	0.004734	
ESO265-007	SBc	1.26	0.003567	
ESO269-057	SABa	2.14	0.010406	
ESO270-017	SBm	1.45	0.002764	
ESO273-014	IB	3.55	0.003509	
ESO274-001	Scd	1.55	0.001751	
ESO311-012	S0-a	0.72	0.003769	
ESO351-030	E	15.26	0.000372	
ESO356-004	E	10.47	0.000184	
ESO358-063	Scd	1.26	0.006502	
ESO373-008	Sc	0.98	0.003079	
ESO380-001	Sb	1.62	0.009069	
ESO380-006	Sb	1.62	0.010504	
ESO383-087	Sd	3.31	0.001110	
ESO390-006			-0.000453	
ESO428-011	E-S0	1.38	0.007080	
ESO443-024	E-S0	2.00	0.016874	
ESO462-015	E	1.74	0.019337	
ESO494-026	SABb	2.69	0.003221	
ESO495-021	E-S0	1.41	0.002941	
ESO507-025	E-S0	2.14	0.010855	
ESO556-015	SBab	2.19	0.006625	
H05			-0.000048	
H13			-0.000014	
H20			0.000021	
HCG079			0.014300	
HCG092			0.021500	
IC 10	IB	6.03	-0.001160	
IC 100	E-S0	0.77	0.017559	
IC 1000	S0	0.50	0.018780	
IC 1001	Sbc	0.32	0.027370	
IC 1002	Sc	0.23	0.027192	
IC 1003	SABb	0.33	0.027070	
IC 1004	E	0.58	0.051310	
IC 1006	Sbc	0.61	0.017100	
IC 1007	Sa	0.55	0.025980	
IC 1008 NED01	Sb	0.36	0.030610	
IC 1008 NED02	Sbc	0.56	0.029966	
IC 1009	S0-a	0.48	0.025910	
IC 101	Sb	0.59	0.007942	
IC 1010	Sb	1.28	0.025660	
IC 1011	S?	0.56	0.025670	
IC 1012	Sb	0.66	0.013660	
IC 1013	Scd	0.44	0.015357	
IC 1014	Sd	1.11	0.004302	
IC 1015 NED01	Sbc	0.23	0.056220	
